City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Ipoh,MY,2021-02-05 19:50,4.5841,101.0829,75.2,83,20,3.44
273,Sao Felix Do Xingu,BR,2021-02-05 19:50,-6.6447,-51.995,82.33,85,94,4.83
274,Shelbyville,US,2021-02-05 19:50,35.4834,-86.4603,50,46,1,4.61
275,Pemba,MZ,2021-02-05 19:50,-12.974,40.5178,82.4,83,20,6.91
276,Bubaque,GW,2021-02-05 19:50,11.2833,-15.8333,77.41,71,82,22.97
277,Acandi,CO,2021-02-05 19:50,8.5063,-77.2778,85.06,66,100,9.19
278,Bud,US,2021-02-05 19:50,39.447,-86.1758,33.01,73,100,19.1
279,Necochea,AR,2021-02-05 19:50,-38.5473,-58.7368,91,26,0,1.99
280,Lasa,IT,2021-02-05 19:50,46.6166,10.7002,39.2,86,0,3.06
281,Santa Luzia,BR,2021-02-05 19:50,-19.7697,-43.8514,75.2,94,75,3.44
282,Vanimo,PG,2021-02-05 19:50,-2.6741,141.3028,77.47,83,100,5.57
283,Severo-Kurilsk,RU,2021-02-05 19:50,50.6789,156.125,11.61,84,54,7.27
284,Port Macquarie,AU,2021-02-05 19:45,-31.4333,152.9167,64.99,99,100,10.65
285,Pisco,PE,2021-02-05 19:50,-13.7,-76.2167,75.2,69,0,11.5
286,Kirovskiy,RU,2021-02-05 19:50,45.0917,133.5136,4.1,95,100,2.66
287,La Primavera,CO,2021-02-05 19:50,5.4906,-70.4092,96.12,36,80,12.77
288,Seoul,KR,2021-02-05 19:47,37.5683,126.9778,39.2,75,75,5.75
289,Alta Floresta,BR,2021-02-05 19:50,-9.8756,-56.0861,84.34,78,98,3.13
290,Dandong,CN,2021-02-05 19:50,40.1292,124.3947,26.73,97,99,2.33
291,Ulaangom,MN,2021-02-05 19:50,49.9811,92.0667,-7.01,85,100,0.65
292,Caborca,MX,2021-02-05 19:50,30.5838,-111.101,66,32,0,7
293,Sakakah,SA,2021-02-05 19:50,29.9697,40.2064,55.4,76,0,5.75
294,Rio Grande,BR,2021-02-05 19:36,-32.035,-52.0986,73.4,60,75,21.85
295,Inuvik,CA,2021-02-05 19:42,68.3499,-133.7218,-31,68,92,1.14
296,Richards Bay,ZA,2021-02-05 19:36,-28.783,32.0377,76.01,90,99,1.16
297,Neuquen,AR,2021-02-05 19:47,-38.9516,-68.0591,98.6,15,0,5.75
298,Taltal,CL,2021-02-05 19:50,-25.4,-70.4833,70.39,59,22,7.05
299,Mirnyy,RU,2021-02-05 19:47,62.5353,113.9611,-35.48,83,50,2.04
300,Honningsvag,NO,2021-02-05 19:50,70.9821,25.9704,32,80,75,28.77
301,Fairbanks,US,2021-02-05 19:40,64.8378,-147.7164,-18.4,69,75,3.06
302,Cidreira,BR,2021-02-05 19:42,-30.1811,-50.2056,73.2,64,19,18.14
303,Saint Anthony,US,2021-02-05 19:50,45.0205,-93.218,10.99,61,75,20.71
304,Isabela,PH,2021-02-05 19:50,6.7085,121.9711,78.39,81,100,3.02
305,Alihe,CN,2021-02-05 19:50,50.5667,123.7167,-13.54,84,15,3.36
306,Puerto Quijarro,BO,2021-02-05 19:41,-17.7833,-57.7667,92.23,33,0,6.2
307,Shelburne,CA,2021-02-05 19:50,44.0787,-80.2041,24.01,86,95,21.27
308,Boguchany,RU,2021-02-05 19:50,58.3814,97.4531,1.35,92,91,4.14
